CustID,Gender_M,Income,Age,Rentals,AvgPerVisit,Incidentals_Yes,Genre_Comedy,Genre_Drama
1,1,45000,25,27,2.5,1,0,0
2,0,54000,33,12,3.4,0,0,1
3,0,32000,20,42,1.6,0,1,0
4,0,59000,70,16,4.2,1,0,1
5,1,37000,35,25,3.2,1,0,0
6,1,18000,20,33,1.7,0,0,0
7,0,29000,45,19,3.8,0,0,1
8,1,74000,25,31,2.4,1,0,0
9,1,38000,21,18,2.1,0,1,0
10,0,65000,40,21,3.3,0,0,1
11,0,41000,22,48,2.3,1,0,1
12,0,26000,22,29,2.9,1,0,0
13,1,83000,46,14,3.6,0,1,0
14,1,45000,36,24,2.7,0,0,1
15,1,68000,30,36,2.7,1,1,0
16,1,17000,19,26,2.2,1,0,0
17,1,36000,35,28,3.5,1,0,1
18,0,6000,16,39,1.8,1,0,0
19,0,24000,25,41,3.1,0,1,0
20,1,12000,16,23,2.2,1,0,0
21,0,47000,52,11,3.1,0,0,1
22,1,25000,33,16,2.9,1,0,1
23,0,2000,15,30,2.5,0,1,0
24,0,79000,35,22,3.8,1,0,1
25,1,1000,16,25,1.4,1,1,0
26,0,56000,35,40,2.6,1,0,0
27,0,62000,47,32,3.6,0,0,1
28,1,57000,52,22,4.1,0,1,0
29,0,15000,18,37,2.1,1,0,0
30,1,41000,25,17,1.4,1,0,0
31,0,49000,56,15,3.2,0,1,0
32,1,47000,30,21,3.1,1,0,1
33,1,23000,25,28,2.7,0,0,0
34,0,29000,32,19,2.9,1,0,0
35,1,74000,29,43,4.6,1,0,0
36,0,29000,21,34,2.3,0,1,0
37,1,89000,46,12,1.2,0,1,0
38,1,41000,38,20,3.3,1,0,1
39,0,68000,35,19,3.9,0,1,0
40,1,17000,19,32,1.8,0,0,0
41,0,50000,33,17,1.4,0,0,1
42,1,32000,25,26,2.2,1,0,0
43,0,49000,28,48,3.3,1,0,1
44,1,35000,24,24,1.7,0,0,1
45,1,56000,38,30,3.5,1,0,1
46,0,57000,43,9,1.1,0,0,1
47,0,69000,35,22,2.8,1,0,1
48,0,52000,47,14,1.6,0,0,1
49,1,31000,25,42,3.4,1,0,0
50,1,24000,20,33,4.7,0,0,0
